country,region,slug,first_datetime
United States,Salt Lake City,salt-lakecity,2023-08-12T13:16:06
United States,San Antonio,san-antonio,2023-08-12T13:16:06
United States,San Diego,san-diego,2023-08-12T13:16:06
United States,SF Bay Area,sf-bay-area,2023-08-12T13:16:06
United States,Sandusky,sandusky-oh,2023-08-12T13:16:06
United States,Santa Barbara County,santa-barbara-ca,2023-08-12T13:16:06
United States,Santa Cruz,santa-cruz,2023-08-12T13:16:06
United States,Savannah,savannah,2023-08-12T13:16:06
United States,Seattle,seattle,2023-08-12T13:16:06
United States,South Bend,south-bend,2023-08-12T13:16:06
United States,Spokane,spokane,2023-08-12T13:16:06
United States,"Springfield, MO",springfield-mo,2023-08-12T13:16:06
United States,"St. Louis, MO",st-louis-mo,2023-08-12T13:16:06
United States,"St. Cloud, MN",st-cloud-mn,2023-08-12T13:16:06
United States,State College,state-college,2023-08-12T13:16:06
United States,Stockton,stockton,2023-08-12T13:16:06
United States,Tallahassee,tallahassee-fl,2023-08-12T13:16:06
United States,Tampa Bay Area,tampa-bay-area,2023-08-12T13:16:06
United States,Toledo,toldeo-oh,2023-08-12T13:16:06
United States,"Tri-Cities, WA",tri-cities-wa,2023-08-12T13:16:06
United States,Tulsa,tulsa-ok,2023-08-12T13:16:06
United States,Vermont,vt,2023-08-12T13:16:06
United States,Visalia,visalia-ca,2023-08-12T13:16:06
United States,"Washington, DC",washington-dc,2023-08-12T13:16:06
United States,"Williamsburg, VA",williamsburg-va,2023-08-12T13:16:06
United States,Willmar,willmar-mn,2023-08-12T13:16:06
United States,"Wilmington, DE",wilmington-de,2023-08-12T13:16:06
United States,Worcester,worcester,2023-08-12T13:16:06
United States,"York, PA",york-pa,2023-08-12T13:16:06
United States,Zanesville,zanesville-oh,2023-08-12T13:16:06
France,Arras,arras,2023-08-26T12:17:48
France,Douai,douai,2023-08-26T12:17:48
France,Dunkerque,dunkerque,2023-08-26T12:17:48
France,Lens-Béthune,lens-bethune,2023-08-26T12:17:48
France,Alès,ales,2024-05-24T00:25:47
France,Châlons-en-Champagne,chalons-en-champagne,2024-05-24T00:25:47
France,Dreux,dreux,2024-05-24T00:25:47
Portugal,Lisbon,lisbon,2024-05-24T00:25:47
Portugal,Porto,Porto,2024-05-24T00:25:47
United Arab Emirates,Dubai,dubai,2024-05-24T00:25:47
